city,price_category,property_count
Sahuarita,Budget,116
Sahuarita,Luxury,19
Sahuarita,Mid-Range,375
Saint David,Budget,5
Saint David,Luxury,9
Saint David,Mid-Range,11
Saint Johns,Budget,6
Saint Johns,Mid-Range,3
Salome,Budget,18
Salome,Luxury,1
Salome,Mid-Range,1
San Luis,Budget,41
San Luis,Mid-Range,3
San Manuel,Budget,21
San Simon,Luxury,1
San Simon,Mid-Range,4
San Tan Valley,Budget,18
San Tan Valley,Luxury,101
San Tan Valley,Mid-Range,916
Scottsdale,Budget,90
Scottsdale,Luxury,2250
Scottsdale,Mid-Range,737
Sedona,Budget,4
Sedona,Luxury,106
Sedona,Mid-Range,28
Seligman,Budget,17
Seligman,Luxury,3
Seligman,Mid-Range,11
Show Low,Budget,34
Show Low,Luxury,40
Show Low,Mid-Range,48
Sierra Vista,Budget,226
Sierra Vista,Luxury,1
Sierra Vista,Mid-Range,106
Skull Valley,Luxury,2
Skull Valley,Mid-Range,2
Snowflake,Budget,10
Snowflake,Luxury,6
Snowflake,Mid-Range,18
Solomon,Budget,3
Somerton,Budget,31
Somerton,Luxury,2
Somerton,Mid-Range,21
Sonoita,Luxury,4
Sonoita,Mid-Range,4
Spring Valley,Mid-Range,1
Springerville,Budget,4
Springerville,Luxury,1
Springerville,Mid-Range,6
Stanfield,Budget,4
Stanfield,Luxury,1
Star Valley,Budget,10
Star Valley,Luxury,4
Star Valley,Mid-Range,2
Strawberry,Budget,2
Strawberry,Luxury,5
Strawberry,Mid-Range,7
Sun City,Budget,427
Sun City,Luxury,11
Sun City,Mid-Range,461
Sun City West,Budget,80
Sun City West,Luxury,69
Sun City West,Mid-Range,462
Sun Lakes,Budget,40
Sun Lakes,Luxury,64
Sun Lakes,Mid-Range,219
Superior,Budget,19
Superior,Mid-Range,7
Surprise,Budget,102
Surprise,Luxury,187
Surprise,Mid-Range,1131
Tacna,Budget,1
Taylor,Budget,3
Taylor,Luxury,6
Taylor,Mid-Range,6
Tempe,Budget,152
Tempe,Luxury,177
Tempe,Mid-Range,573
Thatcher,Budget,4
Thatcher,Mid-Range,6
Tolleson,Budget,3
Tolleson,Luxury,6
Tolleson,Mid-Range,159
Toltec,Mid-Range,2
Tombstone,Budget,11
Tombstone,Luxury,2
Tombstone,Mid-Range,4
Tonopah,Budget,28
Tonopah,Luxury,1
Tonopah,Mid-Range,63
Tonto Basin,Budget,17
Tonto Basin,Luxury,3
Tonto Basin,Mid-Range,16
Topock Golden Shores,Budget,19
Topock Golden Shores,Mid-Range,2
Tubac,Budget,20
Tubac,Luxury,29
Tubac,Mid-Range,38
Tucson,Budget,3466
Tucson,Luxury,828
Tucson,Mid-Range,3768
Tumacacori,Budget,1
Tumacacori,Mid-Range,1
Vail,Budget,75
Vail,Luxury,53
Vail,Mid-Range,418
Vernon,Budget,3
Vernon,Luxury,11
Vernon,Mid-Range,9
Waddell,Luxury,49
Waddell,Mid-Range,43
Wagoner,Budget,1
Wellton,Budget,45
Wellton,Mid-Range,9
Wenden,Budget,2
Whetstone,Budget,1
White Hills,Budget,1
White Hills,Mid-Range,3
Wickenburg,Budget,15
Wickenburg,Luxury,60
Wickenburg,Mid-Range,45
Wilhoit,Budget,3
Willcox,Budget,37
Willcox,Luxury,2
Willcox,Mid-Range,1
Williams,Budget,23
Williams,Luxury,29
Williams,Mid-Range,29
Winkelman,Budget,1
Winkelman,Luxury,2
Winslow,Budget,27
Winslow,Mid-Range,6
Wittmann,Budget,7
Wittmann,Luxury,24
Wittmann,Mid-Range,37
Yarnell,Budget,10
Yarnell,Mid-Range,6
Young,Budget,3
Young,Luxury,2
Young,Mid-Range,1
Youngtown,Budget,16
Youngtown,Luxury,3
Youngtown,Mid-Range,28
Yucca,Budget,11
Yucca,Luxury,1
Yucca,Mid-Range,5
Yuma,Budget,757
Yuma,Luxury,30
Yuma,Mid-Range,334
