city,status,property_count
Tucson,for_sale,2476
Tucson,sold,5586
Tumacacori,for_sale,2
Vail,for_sale,229
Vail,sold,317
Vernon,for_sale,22
Vernon,sold,1
Waddell,for_sale,47
Waddell,sold,45
Wagoner,for_sale,1
Wellton,for_sale,45
Wellton,sold,9
Wenden,for_sale,2
Whetstone,for_sale,1
White Hills,for_sale,3
White Hills,sold,1
Wickenburg,for_sale,94
Wickenburg,sold,26
Wilhoit,for_sale,2
Wilhoit,sold,1
Willcox,for_sale,33
Willcox,sold,7
Williams,for_sale,52
Williams,sold,29
Winkelman,for_sale,2
Winkelman,sold,1
Winslow,for_sale,27
Winslow,sold,6
Wittmann,for_sale,52
Wittmann,sold,16
Yarnell,for_sale,13
Yarnell,sold,3
Young,for_sale,5
Young,sold,1
Youngtown,for_sale,14
Youngtown,sold,33
Yucca,for_sale,14
Yucca,sold,3
Yuma,for_sale,439
Yuma,sold,682
